 invariant_id,quote_type,quote_value,currency
Z913Y11C0,COMPMC,        4853248688.281788,USD
Z913Y11C0,PCLOSE,                 8.829999,AUD
Z913Y11C0,TOTRET,                -0.017611,AUD
Z913Y11C0,TRDVOL,           2381583.000000,AUD
Z913Y11D8,COMPMC,       54708713912.506072,USD
Z913Y11D8,PCLOSE,                24.910003,AUD
Z913Y11D8,TOTRET,                 0.008774,AUD
Z913Y11D8,TRDVOL,           9383258.000000,AUD
Z913Y11E6,COMPMC,        7029088807.813280,USD
Z913Y11E6,PCLOSE,                 5.569999,AUD
Z913Y11E6,TOTRET,                -0.031091,AUD
Z913Y11E6,TRDVOL,           8140070.000000,AUD
Z913Y11F3,COMPMC,       14520829065.626611,USD
Z913Y11F3,PCLOSE,                12.720001,AUD
Z913Y11F3,TOTRET,                 0.004825,AUD
Z913Y11F3,TRDVOL,           4136031.000000,AUD
Z913Y11G1,COMPMC,        6302141418.750699,USD
Z913Y11G1,PCLOSE,                33.570007,AUD
Z913Y11G1,TOTRET,                -0.018576,AUD
Z913Y11G1,TRDVOL,            974218.000000,AUD
Z913Y11J5,COMPMC,        6833204797.657008,USD
Z913Y11J5,PCLOSE,                 5.279999,AUD
Z913Y11J5,TOTRET,                 0.000163,AUD
Z913Y11J5,TRDVOL,           5152039.000000,AUD
Z913Y11K2,COMPMC,        6453052690.430403,USD
Z913Y11K2,PCLOSE,                20.119995,AUD
Z913Y11K2,TOTRET,                 0.061847,AUD
Z913Y11K2,TRDVOL,           3695195.000000,AUD
Z913Y11L0,COMPMC,        5503461460.938110,USD
Z913Y11L0,PCLOSE,                13.130001,AUD
Z913Y11L0,TOTRET,                -0.008142,AUD
Z913Y11L0,TRDVOL,           2181662.000000,AUD
Z913Y11M8,COMPMC,       53003012850.005882,USD
Z913Y11M8,PCLOSE,                27.279998,AUD
Z913Y11M8,TOTRET,                -0.008444,AUD
Z913Y11M8,TRDVOL,           6796645.000000,AUD
Z913Y11N6,COMPMC,        2015065865.674051,USD
Z913Y11N6,PCLOSE,                18.550003,AUD
Z913Y11N6,TOTRET,                 0.001201,AUD
Z913Y11N6,TRDVOL,            385168.000000,AUD
Z913Y11P1,COMPMC,       68329489312.507583,USD
Z913Y11P1,PCLOSE,                18.710006,AUD
Z913Y11P1,TOTRET,                -0.036839,AUD
Z913Y11P1,TRDVOL,          13912880.000000,AUD
Z913Y11Q9,COMPMC,        2860614539.062817,USD
Z913Y11Q9,PCLOSE,                 1.380000,AUD
Z913Y11Q9,TOTRET,                -0.017549,AUD
Z913Y11Q9,TRDVOL,          15521829.000000,AUD
Z913Y11S5,COMPMC,       16372576423.439317,USD
