invariant_id,invariant_id
BT,BLOOMBERG TICKER
sedol,SEDOL
measure_currency,MEASURE CURRENCY
period_end,PERIOD END
portfolio_name,INDEX
sec_desc,SECURITY NAME
market,MARKET
currency,CURRENCY
country,COUNTRY
sector,SECTOR
subsector,SUBSECTOR
industry,INDUSTRY
subindustry,SUBINDUSTRY
pe_fy0,P/E (FY0)
pb_fy0,P/B (FY0)
BPS_ACT_EST_BASIS,BOOK VALUE PER SHARE
CASH_ST_INVESTMENTS,CASH & SHORT TERM INVESTMENTS
CFPS_ACT_EST_BASIS,CASH FLOW PER SHARE
COMM_EQTY,COMMON EQUITY
DPS_ACT_EST_BASIS,DPS ACTUAL
EBITDA,EBITDA
EBITDA_ACT_EST_BASIS,EBITDA ACTUAL
EPS_ACT_EST_BASIS,EPS ACTUAL
GROSS_PROFIT_MRGN,GROSS PROFIT MARGIN
LT_DEBT_TOT_CAP,LONG TERM DEBT % TOTAL CAPITAL
NET_INC_EPS_BASIC,NET INCOME
NET_INT_MRGN,NET INTEREST MARGIN
NET_MRGN,NET MARGIN
NET_MRGN_1Y_GRWTH,NET MARGIN - 1 YR GROWTH RATE
NET_MRGN_5Y_GRWTH,NET MARGIN - 5 YR GROWTH RATE
OPER_PROFIT_MRGN,OPERATING PROFIT MARGIN
PB_5Y_AVG_CLOSE,P/B - 5 YR AVG - CLOSE
PE_5Y_AVG_CLOSE,P/E - 5 YR AVG - CLOSE
ROA,RETURN ON ASSETS
ROE_5Y_AVG,RETURN ON EQUITY - TOTAL (%)- 5 YR AVG
ROE_XPREF,RETURN ON EQUITY - TOTAL (%)
SAL,NET SALES OR REVENUES
SAL_ACT_EST_BASIS,NET SALES OR REVENUES ACTUAL
TOT_ASST,TOTAL ASSETS
TOT_DEBT_ASST,TOTAL DEBT AND ASSETS
TOT_DEBT_COMM_EQTY,TOTAL DEBT AND COMMON EQUITY
TOT_DEBT_TOT_CAP_STD,TOTAL DEBT % TOTAL CAPITAL & SHORT TERM DEBT
TOT_LIAB,TOTAL LIABILITY
