 portfolio_name,sedol,invariant_id,sec_desc,market,currency,country,sector,subsector,industry,subindustry
MSACIMIUSD,6123451,Z913Y11C0,COCA-COLA AMATIL,AUS,AUD,AUS,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks
MSACIMIUSD,6065586,Z913Y11D8,AUS.AND NZ.BANKING GP.,AUS,AUD,AUS,Financials,Banks,Banks,Diversified Banks
MSACIMIUSD,6214861,Z913Y11E6,ORIGIN ENERGY (EX BORAL),AUS,AUD,AUS,Energy,Energy,Oil Gas & Consumable Fuels,Integrated Oil & Gas
MSACIMIUSD,B1FJ0C0,Z913Y11F3,BRAMBLES,AUS,AUD,AUS,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Diversified Support Services
MSACIMIUSD,6161503,Z913Y11G1,CALTEX AUSTRALIA,AUS,AUD,AUS,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
MSACIMIUSD,6365866,Z913Y11J5,GPT GROUP,AUS,AUD,AUS,Financials,Real Estate,Real Estate Investment Trusts (REITs),Diversified REIT's
MSACIMIUSD,B60QWJ2,Z913Y11K2,JAMES HARDIE INDS.CDI.,AUS,AUD,NLD,Materials,Materials,Construction Materials,Construction Materials
MSACIMIUSD,6512004,Z913Y11L0,LENDLEASE GROUP,AUS,AUD,AUS,Financials,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities
MSACIMIUSD,6624608,Z913Y11M8,NATIONAL AUS.BANK,AUS,AUD,AUS,Financials,Banks,Banks,Diversified Banks
MSACIMIUSD,6286611,Z913Y11N6,ANSELL,AUS,AUD,AUS,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
MSACIMIUSD,6144690,Z913Y11P1,BHP BILLITON,AUS,AUD,AUS,Materials,Materials,Metals & Mining,Diversified Metals & Mining
MSACIMIUSD,6954985,Z913Y11Q9,ALUMINA,AUS,AUD,AUS,Materials,Materials,Metals & Mining,Aluminum
MSACIMIUSD,6979728,Z913Y11S5,WOODSIDE PETROLEUM,AUS,AUD,AUS,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
MSACIMIUSD,B5W7K25,Z913Y11X4,MACQUARIE ATLAS ROADS,AUS,AUD,AUS,Industrials,Transportation,Transportation Infrastructure,Highways & Railtracks
MSACIMIUSD,B1YC5L4,Z913Y11Z9,ASCIANO,AUS,AUD,AUS,Industrials,Transportation,Road & Rail,Railroads
MSACIMIUSD,6948836,Z913Y1205,WESFARMERS,AUS,AUD,AUS,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
MSACIMIUSD,6715740,Z913Y1213,QBE INSURANCE GROUP,AUS,AUD,AUS,Financials,Insurance,Insurance,Property & Casualty Insurance
MSACIMIUSD,6215035,Z913Y1221,COMMONWEALTH BK.OF AUS.,AUS,AUD,AUS,Financials,Banks,Banks,Diversified Banks
MSACIMIUSD,6981239,Z913Y1239,WOOLWORTHS,AUS,AUD,AUS,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
MSACIMIUSD,B0LCW75,Z913Y1254,SIMS METAL MANAGEMENT,AUS,AUD,AUS,Materials,Materials,Metals & Mining,Steel
MSACIMIUSD,6087289,Z913Y1270,TELSTRA,AUS,AUD,AUS,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
MSACIMIUSD,6709958,Z913Y1288,AMP,AUS,AUD,AUS,Financials,Insurance,Insurance,Life & Health Insurance
MSACIMIUSD,6710347,Z913Y1296,QANTAS AIRWAYS,AUS,AUD,AUS,Industrials,Transportation,Airlines,Airlines
MSACIMIUSD,6873262,Z913Y12A3,TABCORP HOLDINGS,AUS,AUD,AUS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
MSACIMIUSD,6957575,Z913Y12B1,ILUKA RESOURCES,AUS,AUD,AUS,Materials,Materials,Metals & Mining,Diversified Metals & Mining
MSACIMIUSD,6335331,Z913Y12C9,NUFARM,AUS,AUD,AUS,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
MSACIMIUSD,6271026,Z913Y12D7,INSURANCE AUS.GROUP,AUS,AUD,AUS,Financials,Insurance,Insurance,Property & Casualty Insurance
MSACIMIUSD,6585084,Z913Y12E5,SUNCORP GROUP,AUS,AUD,AUS,Financials,Insurance,Insurance,Property & Casualty Insurance
MSACIMIUSD,6200882,Z913Y12F2,TRANSURBAN GROUP,AUS,AUD,AUS,Industrials,Transportation,Transportation Infrastructure,Highways & Railtracks
MSACIMIUSD,6006886,Z913Y12H8,ADELAIDE BRIGHTON,AUS,AUD,AUS,Materials,Materials,Construction Materials,Construction Materials
MSACIMIUSD,6068574,Z913Y12J4,APN NEWS & MEDIA,AUS,AUD,AUS,Consumer Discretionary,Media,Media,Publishing
MSACIMIUSD,6091280,Z913Y12K1,BENDIGO & ADELAIDE BANK,AUS,AUD,AUS,Financials,Banks,Banks,Regional Banks
MSACIMIUSD,6726300,Z913Y12L9,CHALLENGER,AUS,AUD,AUS,Financials,Diversified Financials,Diversified Financial Services, Other Diversified Financial Services
MSACIMIUSD,6108373,Z913Y12M7,TEN NETWORK HOLDINGS,AUS,AUD,AUS,Consumer Discretionary,Media,Media,Broadcasting
MSACIMIUSD,6129222,Z913Y12N5,ASX,AUS,AUD,AUS,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance
MSACIMIUSD,6218670,Z913Y12P0,BORAL,AUS,AUD,AUS,Materials,Materials,Construction Materials,Construction Materials
MSACIMIUSD,6253983,Z913Y12Q8,ARISTOCRAT LEISURE,AUS,AUD,AUS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
MSACIMIUSD,6277916,Z913Y12R6,BILLABONG INTERNATIONAL,AUS,AUD,AUS,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
MSACIMIUSD,6352147,Z913Y12S4,FLIGHT CENTRE TRAVEL GP.,AUS,AUD,AUS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
MSACIMIUSD,6465573,Z913Y12U9,DOWNER EDI,AUS,AUD,AUS,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Diversified Support Services
MSACIMIUSD,BX17Q13,Z913Y12W5,CIMIC GROUP,AUS,AUD,AUS,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
MSACIMIUSD,6668468,Z913Y12X3,PALADIN ENERGY,AUS,AUD,AUS,Energy,Energy,Oil Gas & Consumable Fuels,Coal & Consumable Fuels
MSACIMIUSD,6682394,Z913Y12Y1,PERPETUAL,AUS,AUD,AUS,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
MSACIMIUSD,B03FYZ4,Z913Y1312,GOODMAN GROUP,AUS,AUD,AUS,Financials,Real Estate,Real Estate Investment Trusts (REITs),Industrial REIT's
MSACIMIUSD,6949431,Z913Y1320,SEVEN WEST MEDIA,AUS,AUD,AUS,Consumer Discretionary,Media,Media,Broadcasting
MSACIMIUSD,6076243,Z913Y1338,BANK OF QLND.,AUS,AUD,AUS,Financials,Banks,Banks,Regional Banks
MSACIMIUSD,6552594,Z913Y1346,SIGMA PHARMS.,AUS,AUD,AUS,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
MSACIMIUSD,6673042,Z913Y1353,INCITEC PIVOT,AUS,AUD,AUS,Materials,Materials,Chemicals,Diversified Chemicals
MSACIMIUSD,6714394,Z913Y1379,IOOF HOLDINGS,AUS,AUD,AUS,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
MSACIMIUSD,B033YN6,Z913Y1387,DEXUS PROPERTY GROUP,AUS,AUD,AUS,Financials,Real Estate,Real Estate Investment Trusts (REITs),Office REIT's
MSACIMIUSD,5596991,Z913Y1395,UCB,BEL,EUR,BEL,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
MSACIMIUSD,4262118,Z913Y13A2,DELHAIZE GROUP,BEL,EUR,BEL,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
MSACIMIUSD,7097328,Z913Y13B0,GBL NEW,BEL,EUR,BEL,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings
MSACIMIUSD,5806225,Z913Y13C8,COLRUYT,BEL,EUR,BEL,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
MSACIMIUSD,5541979,Z913Y13E4,ORANGE BELGIUM,BEL,EUR,BEL,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
MSACIMIUSD,4755317,Z913Y13F1,ANHEUSER-BUSCH INBEV,BEL,EUR,BEL,Consumer Staples,Food Beverage & Tobacco,Beverages,Brewers
MSACIMIUSD,2684532,Z913Y13H7,PETROLEO BRASILEIRO PN,BRA,BRL,BRA,Energy,Energy,Oil Gas & Consumable Fuels,Integrated Oil & Gas
MSACIMIUSD,2196286,Z913Y13J3,VALE ON,BRA,BRL,BRA,Materials,Materials,Metals & Mining,Steel
